SYMBOL_ID,SYMBOL_NAME
1411,APO_A
1412,APPF
1413,APPN
1414,APPS
1415,APRI
1416,APRN
1417,APT
1418,APTI
1419,APTO
1420,APTS
1421,APU
1422,APVO
1423,APWC
1424,AQ
1425,AQB
1426,AQMS
1427,AQN
1428,AQUA
1429,AQXP
1430,AR
1431,ARA
1432,ARAY
1433,ARC
1434,ARCB
1435,ARCC
1436,ARCH
1437,ARCI
1438,ARCM
1439,ARCO
1440,ARCW
1441,ARCX
1442,ARD
1443,ARDC
1444,ARDM
1445,ARDX
1446,ARE
1447,ARES
1448,ARES_A
1449,AREX
1450,ARE_D
1451,ARGS
1452,ARGX
1453,ARH_C
1454,ARI
1455,ARII
1456,ARI_C
1457,ARKG
1458,ARKK
1459,ARKQ
1460,ARKR
1461,ARKW
1462,ARL
1463,ARLP
1464,ARLZ
1465,ARMK
1466,ARNA
1467,ARNC
1468,ARNC_
1469,ARNC_B
1470,AROC
1471,AROW
1472,ARQL
1473,ARR
1474,ARRS
1475,ARRY
1476,ARR_A
1477,ARR_B
1478,ARTNA
1479,ARTW
1480,ARTX
1481,ARW
1482,ARWR
1483,ASA
1484,ASB-WS
1485,ASB
1486,ASB_C
1487,ASB_D
1488,ASC
1489,ASCMA
1490,ASET
1491,ASFI
1492,ASG
1493,ASGN
1494,ASH
1495,ASHX
1496,ASIX
1497,ASM
1498,ASMB
1499,ASML
1500,ASNA
1501,ASND
1502,ASNS
1503,ASPN
1504,ASPS
1505,ASPU
1506,ASR
1507,ASRV
1508,ASRVP
1509,AST
1510,ASTC
1511,ASTE
1512,ASUR
1513,ASV
1514,ASX
1515,ASYS
1516,AT
1517,ATAC
1518,ATACR
1519,ATACU
1520,ATAI
1521,ATAX
1522,ATEC
1523,ATEN
1524,ATGE
1525,ATH
1526,ATHM
1527,ATHN
1528,ATHX
1529,ATI
1530,ATKR
1531,ATLC
1532,ATLO
1533,ATNI
1534,ATNM
1535,ATNX
1536,ATO
1537,ATOM
1538,ATOS
1539,ATR
1540,ATRA
1541,ATRC
1542,ATRI
1543,ATRO
1544,ATRS
1545,ATSG
1546,ATTO
1547,ATTU
1548,ATU
1549,ATUS
1550,ATV
1551,ATVI
1552,ATXI
1553,AU
1554,AUBN
1555,AUDC
1556,AUG
1557,AUMN
1558,AUO
1559,AUPH
1560,AUTO
1561,AUY
1562,AVA
1563,AVAL
1564,AVAV
1565,AVB
1566,AVD
1567,AVDL
1568,AVEO
1569,AVGO
1570,AVGR
1571,AVH
1572,AVHI
1573,AVID
1574,AVIR
1575,AVK
1576,AVNW
1577,AVP
1578,AVT
1579,AVX
1580,AVXL
1581,AVXS
1582,AVY
1583,AWF
1584,AWI
1585,AWK
1586,AWP
1587,AWR
1588,AWRE
1589,AWX
1590,AXAS
1591,AXDX
1592,AXE
1593,AXGN
1594,AXL
1595,AXON
1596,AXP
1597,AXR
1598,AXS
1599,AXSM
1600,AXS_D
1601,AXS_E
1602,AXTA
1603,AXTI
1604,AXU
1605,AYI
1606,AYR
1607,AYTU
1608,AYX
1609,AZN
1610,AZO
1611,AZPN
1612,AZRE
1613,AZRX
1614,AZUL
1615,AZZ
1616,B
1617,BA
1618,BAA
1619,BABA
1620,BABY
1621,BAC-WS-A
1622,BAC-WS-B
1623,BAC
1624,BAC_A
1625,BAC_C
1626,BAC_D
1627,BAC_E
1628,BAC_I
1629,BAC_L
1630,BAC_W
1631,BAC_Y
1632,BAF
1633,BAH
1634,BAK
1635,BAM
1636,BANC
1637,BANC_C
1638,BANC_D
1639,BANC_E
1640,BAND
1641,BANF
1642,BANFP
1643,BANR
1644,BANX
1645,BAP
1646,BAR
1647,BAS
1648,BASI
1649,BATRA
1650,BATRK
1651,BAX
1652,BB
1653,BBBY
1654,BBC
1655,BBD
1656,BBDO
1657,BBF
1658,BBG
1659,BBGI
1660,BBK
1661,BBL
1662,BBN
1663,BBOX
1664,BBRG
1665,BBRX
1666,BBSI
1667,BBT
1668,BBT_D
1669,BBT_E
1670,BBT_F
1671,BBT_G
1672,BBT_H
1673,BBU
1674,BBVA
1675,BBW
1676,BBX
1677,BBY
1678,BC
1679,BCAC
1680,BCACR
1681,BCACU
1682,BCACW
1683,BCBP
1684,BCC
1685,BCD
1686,BCE
1687,BCEI
1688,BCH
1689,BCI
1690,BCLI
1691,BCO
1692,BCOM
1693,BCOR
1694,BCOV
1695,BCPC
1696,BCR
1697,BCRH
1698,BCRX
1699,BCS
1700,BCS_D
1701,BCTF
1702,BCV
1703,BCV_A
1704,BCX
1705,BDC
1706,BDCZ
1707,BDC_B
1708,BDGE
1709,BDJ
1710,BDL
1711,BDN
1712,BDR
1713,BDSI
1714,BDX
1715,BDXA
1716,BEAT
1717,BEBE
1718,BECN
1719,BEDU
1720,BEF
1721,BEL
1722,BELFA
1723,BELFB
1724,BEMO
1725,BEN
1726,BEP
1727,BERN
1728,BERY
1729,BETR
1730,BF-A
1731,BF-B
1732,BFAM
1733,BFIN
1734,BFIT
1735,BFK
1736,BFO
1737,BFR
1738,BFS
1739,BFS_C
1740,BFY
1741,BFZ
1742,BG
1743,BGB
1744,BGC
1745,BGCA
1746,BGCP
1747,BGFV
1748,BGG
1749,BGH
1750,BGI
1751,BGIO
1752,BGNE
1753,BGR
1754,BGS
1755,BGSF
1756,BGT
1757,BGX
1758,BGY
1759,BH
1760,BHAC
1761,BHACR
1762,BHACU
1763,BHACW
1764,BHB
1765,BHBK
1766,BHE
1767,BHF
1768,BHGE
1769,BHK
1770,BHLB
1771,BHP
1772,BHV
1773,BHVN
1774,BIBL
1775,BID
1776,BIDU
1777,BIF
1778,BIG
1779,BIIB
1780,BIO-B
1781,BIO
1782,BIOA
1783,BIOC
1784,BIOL
1785,BIOS
1786,BIP
1787,BIT
1788,BITA
1789,BIVV
1790,BJRI
1791,BJZ
1792,BK
1793,BKCC
1794,BKD
1795,BKE
1796,BKEP
1797,BKEPP
1798,BKH
1799,BKHU
1800,BKI
1801,BKJ
1802,BKK
1803,BKMU
1804,BKN
1805,BKS
1806,BKSC
1807,BKT
1808,BKU
1809,BKYI
1810,BK_C
1811,BL
1812,BLBD
1813,BLCM
1814,BLD
1815,BLDP
1816,BLDR
1817,BLE
1818,BLES
1819,BLFS
1820,BLH
1821,BLHY
1822,BLIN
1823,BLJ
1824,BLK
1825,BLKB
1826,BLL
1827,BLMN
1828,BLMT
1829,BLPH
1830,BLRX
1831,BLUE
1832,BLVD
1833,BLVDU
1834,BLVDW
1835,BLW
1836,BLX
1837,BMA
1838,BMCH
1839,BME
1840,BMI
1841,BMLA
1842,BMLP
1843,BML_G
1844,BML_H
1845,BML_I
1846,BML_J
1847,BML_L
1848,BMO
1849,BMRA
1850,BMRC
1851,BMRN
1852,BMS
1853,BMTC
1854,BMY
1855,BNCL
1856,BNDC
1857,BNED
1858,BNFT
1859,BNJ
1860,BNS
1861,BNSO
1862,BNTC
1863,BNTCW
1864,BNY
1865,BOBE
1866,BOCH
1867,BOE
1868,BOFI
1869,BOFIL
1870,BOH
1871,BOJA
1872,BOKF
1873,BOKFL
